Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Newsbytes,2016.0,Gurugram,Digital Media,News portal,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,1500000.0,Series A,2020-01-01
Wagonfly,2018.0,Bangalore,Foodtech,Contactless shopping and delivery experience by using radio frequency to tag retail items,Raghavendra Prasad,Investment Trust Of India,500000.0,Series A,2020-01-01
Nira,2018.0,Bangalore,Fintech,It offers access and credit to working Indians,"Rohit Sen, Nupur Gupta",Angel Investors,2100000.0,Pre series A,2020-01-01
Convosight,2019.0,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","Ivycap Ventures, Sequoia Capital",4000000.0,Pre series A,2020-01-01
Fittr,2016.0,Pune,Fitness,Fitness Social Network & Consultation Platform,Jitendra Chouksey,"Sequoia Capital Surge, Better Capital",2000000.0,Series A,2020-01-01
Asknbid,2018.0,Bangalore,Investment Tech,It builds algorithmic investing-based tech products,"Suresh Bavisetti, Paarth Dhar",Ravikanth Reddy & Mumbai Angel Network,3000000.0,Pre series A,2020-01-01
Bira91,2015.0,Bangalore,Beverage,Craft beer maker,Ankur Jain,"Sequoia Capital, Sofina",20000000.0,Series C,2020-01-01
Finaureus Technologies,2017.0,Pune,Fintech,Provides investment management solutions,"Arindam Ghosh, U R Bhatt",Pinetree Capital,3000000.0,Pre series A,2020-01-01
Daily Ninja,2014.0,Haryana,Ecommerce,Online Milk Delivery startup,Sagar Yarnalkar,Big Basket,349800.0,Seed Round,2020-01-01
Guvi Geek Network Pvt Ltd,2014.0,Chennai,Edtech,Operates vernacular-language based education,"Sp Balamurugan, Arun Prakash, Sri Devi",Education Catalyst Fund,786000.0,Pre series A,2020-01-01
Loadshare,2017.0,Bangalore,Logistics,Provides technology based solutions to SMEs in logistics,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",Cdc Group,2004000.0,Series B,2020-01-01
Vedantu,2016.0,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Kb Global Platform Firm,6800000.0,Series C,2020-01-01
Indusface,2004.0,Gujarat,It,It provides IT security solutions,"Venkatesh Sundar, Nandini Tandon",Tata Capital Growth Fund Ii,5000000.0,Series C,2020-01-01
Dmi Group,2008.0,Delhi,Financial Services,Pan-India Credit providing platform,"Shivashish Chatterjee, Yuvraja Singh",Nxc Corporation,123000000.0,Series C,2020-01-01
Spintly,2017.0,Goa,Iot,It is a wireless cloud-based access control system,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,248000.0,Pre series A,2020-01-01
Credr,2014.0,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,Mittal,Stride Ventures,3000000.0,Series C,2020-01-01
Bijak,2016.0,Gurugram,Agritech,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics","Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",Rtp Global,12000000.0,Series A,2020-01-01
Bugworks,2014.0,Bangalore,Biopharma,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,Anand Anandkumar,"University Of Tokyo Edge Capital, Global Brain Corporation",7500000.0,Seed,2020-01-01
Drinkprime,2016.0,Bangalore,Ecommerce,Water purifier subscription service,"Manas Ranjan Hota, Vijender Reddy","Abhishek Goyal, Bharat Jaisinghani, Firstcheque",3000000.0,Seed Round,2020-01-01
Yap,2016.0,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar And Prabhu",Beenext,4500000.0,Series A,2020-01-01
Uzhavarbumi,2017.0,Tamil Nadu,Dairy,Provides fresh dairy products,"Vetrivel Palani, Paneerselvam",Angel Network,3000000.0,Series A,2020-01-01
Tattva,2018.0,Delhi,Beauty & Wellness,Sells its organic and beauty products via marketplace,"Megha Wadhwa, Karnesh Mahendru","Sukhbir Singh, Rakhee Singal",150000.0,Seed Round,2020-01-01
Pariksha,2015.0,Pune,Edtech,Platform for vernacular test-preparation,"Karanvir Singh, Utkarsh Bagri, Vikram Shekhawat, Deepak Choudhary","Insead Angels, Iit Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",3000000.0,Pre series A,2020-01-01
Dailyhunt,2016.0,Singapore,Media,News aggregator,Virendra Gupta,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",24000000.0,Seed,2020-01-01
Nobroker,2014.0,Bangalore,Real Estate,Online real estate rental startup,"Amit Kumar Agarwal, Akhil Gupta, Saurabh Garg",General Atlantic,30000000.0,Series A,2020-01-01
Box8,2011.0,Mumbai,Foodtech,Enables to order food online,"Amit Raj, Anshul Gupta","Iifl Seed Ventures Fund, Menlo Park",4000000.0,Seed Round,2020-01-01
Capital Float,2013.0,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Ribbit Capital, Saif Partners, Sequoia Capital India, Amazon",15000000.0,Pre series A,2020-01-01
Itilite,2016.0,Bangalore,Travel & Saas,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,2020-01-01
Morning Context,2016.0,Kolkata,Digital Media,A subscription-only digital media publisher,Vamsi Krishna,Angel Investors,3000000.0,Seed Round,2020-01-01
Aavenir,2019.0,Ahmedabad,Saas,Source-to-Pay Software,Ashish Bhandari,Accel,2000000.0,Seed Round,2020-01-01
