Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Ultraviolette,2021.0,Bangalore,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","Tvs Motor, Zoho",150000000.0,Series C,2021-01-01
Nephroplus,2009.0,Hyderabad,Hospital & Health Care,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",Vikram Vuppala,Iifl Asset Management,24000000.0,Series E,2021-01-01
Unremot,2020.0,Bangalore,Information Technology & Services,Unremot is a personal office for consultants!,Shiju Radhakrishnan,Inflection Point Ventures,700000.0,Seed,2021-01-01
Fananywhere,2021.0,Bangalore,Financial Services,Celebrity NFT platform,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio Vc, Deltahub Capital",3500000.0,Seed,2021-01-01
Pingolearn,2021.0,Pune,E-Learning,PingoLearn offers language learning courses with snackable videos.,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, Angellist Syndicate",200000.0,Debt,2021-01-01
Spry,2021.0,Mumbai,Music,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",1500000.0,Seed,2021-01-01
Enmovil,2015.0,Hyderabad,Information Technology & Services,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,1300000.0,Pre-series A,2021-01-01
Asqi Advisors,2019.0,Mumbai,Financial Services,Bringing Blockchain technology intro mainstream finance!,Swapnil Pawar,Founders Room Capital,1000000.0,Pre-series A,2021-01-01
Insurance Samadhan,2018.0,New Delhi,Insurance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal,"9Unicorns, Znl",725000.0,Pre-series A,2021-01-01
Evenflow Brands,2020.0,Mumbai,Consumer Goods,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,"Utsav Agarwal, Pulkit Chhabra",Elevation Capital,500000.0,Seed,2021-01-01
Masterchow,2020.0,Bangalore,Hauz Khas,A ready-to-cook Asian cuisine brand,"Vidur Kataria, Sidhanth Madan",Weh Ventures,461000.0,Seed,2021-01-01
Pingolearn,2021.0,Pune,E-Learning,PingoLearn offers language learning courses with snackable videos.,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, Angellist Syndicate",200000.0,Series A,2021-01-01
Evenflow Brands,2020.0,Mumbai,Consumer Goods,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,"Utsav Agarwal, Pulkit Chhabra",Sixth Sense Ventures,500000.0,Pre-series A,2021-01-01
Pristyn Care,2018.0,Gurugram,Hospital & Health Care,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Harsimarbir (Harsh) Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",96000000.0,Series E,2021-01-01
Plix,2018.0,Mumbai,"Health, Wellness & Fitness",Plant-based nutraceutical firm,"Rishubh Satiya, Akash Zaveri","Guild Capital, Rpsg Capital Ventures",5000000.0,Series A,2021-01-01
Uni Cards,2020.0,Bangalore,Financial Services,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","Nitin Gupta, Prateek Jindal, Laxmikant Vyas","General Catalyst, Eight Roads Ventures, Elevation Capital",70000000.0,Series A,2021-01-01
Practically,2018.0,Hyderabad,E-Learning,An experiential learning app for grades 6th to 12th.,"Subbarao Siddabattula, Charu Noheria, Ilangovel Thulasimani","Nb Ventures, Earlsfield Capital",5000000.0,Pre-series A,2021-01-01
Nestasia,2018.0,Kolkata,Retail,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",4000000.0,Series A,2021-01-01
Vedic Cosmeceuticals,2002.0,Noida,Cosmetics,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Mohit Goel,Sixth Sense Ventures,32000000.0,Series A,2021-01-01
Juspay,2012.0,Bangalore,Fintech,Enable frictionless payments for the billion Indians.,"Vimal Kumar, Ramanathan Rv",Softbank Vision Fund 2,60000000.0,Series C,2021-01-01
Tranzact,2017.0,Mumbai,Information Technology & Services,A mission to digitize millions of Indian SMEs so they can grow better.,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma","Tribe Capital, Prime Venture Partners",7000000.0,Series A,2021-01-01
Atomberg,2012.0,Mumbai,Consumer Electronics,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,"Manoj, Sibabrata Das",Jungle Ventures,20000000.0,Pre-series A,2021-01-01
Ola,2010.0,Bangalore,Mobility,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",Bhavish Aggarwal,Marquee International Institutional Investors,500000000.0,Pre-seed,2021-01-01
Mohalla Tech,2015.0,Bangalore,Social Media,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.","Ankush Sachdeva, Bhanu Pratap Singh",Alkeon Capital,266000000.0,Series G,2021-01-01
Stack,2020.0,Bangalore,Financial Services,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",4500000.0,Seed,2021-01-01
Propreturns,2020.0,Mumbai,Real Estate,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,"Jayant Panwar, Kenish Shah","Y Combinator﻿, ﻿Goodwater Capital",1200000.0,Seed,2021-01-01
Weskill,2020.0,Gurugram,E-Learning,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal","Shrishti Sahu, Umang Vohra",4000000.0,Pre-seed,2021-01-01
Fitpage,2020.0,Mumbai,"Health, Wellness & Fitness","An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Vikas Singh,"Astra Ventures, Gaurav Jaitly",300000.0,Seed,2021-01-01
Shopmylooks,2021.0,Noida,Digital Platform,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,Rohit Jaiswal,"Capital A, Collective Artists Network",200000.0,Series B,2021-01-01
Bytelearn,2021.0,Noida,E-Learning,AI powered teaching assistant for 100 Mn teachers across the world,Ashish Singhal & Govind Soni & Vimal Sagar Tiwari,"Aditya Singhal, Nishant Sinha",9500000.0,Seed,2021-01-01
Dista,2017.0,Pune,Computer Software,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,1200000.0,Seed,2021-01-01
Ofbusiness,2015.0,Gurugram,Financial Services,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.","Ruchi Kalra, Asish Mohapatra","Alpha Wave Ventures Ii, Tiger Global Management, Softbank Vision Fund Ii",325000000.0,Series B,2021-01-01
Bizongo,2015.0,Mumbai,B2B Ecommerce,izongo is India’s largest B2B platform for made-to-order products.,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,100000000.0,Series D,2021-01-01
Frnd,2019.0,Bangalore,Online Media,FRND is an audio dating app for Bharat,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",Krafton,6500000.0,Series A,2021-01-01
Metadome,2017.0,Bangalore,Computer Software,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",4000000.0,Pre-series A,2021-01-01
Keka Hr,2014.0,Hyderabad,Information Technology & Services,Keka is a simple and intuitive HR software unlike the traditional HR systems.,Vijay Yalamanchili,Recur Club,1600000.0,Debt,2021-01-01
The Gourmet Jar,2012.0,Noida,Food & Beverages,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",Apeksha Jain,Devx Venture Fund,150000.0,Seed,2021-01-01
Flo Mobility,2019.0,Bangalore,Industrial Automation,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.","Manesh Jain, Mohan Kumar","Devx Venture Fund, Blume Founder Fund",400000.0,Pre-seed,2021-01-01
Yodacart,2019.0,Thane,E-Commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Vikas Sharma,Ajith Daneil,225000.0,Pre-seed,2021-01-01
Thehousemonk,2019.0,Bangalore,Real Estate,A complete property management software platform for team&customers.,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,5000000.0,Series C,2021-01-01
Zepto,2021.0,Bangalore,E-Commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Aadit Palicha, Kaivalya Vohra",Y-Combinator,100000000.0,Series C,2021-01-01
Sirona Hygiene,2015.0,New Delhi,"Health, Wellness & Fitness","An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",Deep Bajaj,The Good Glamm Group,10000000.0,Pre-series A,2021-01-01
Jumbotail,2015.0,Bangalore,B2B Ecommerce,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores","S Karthik Venkateswaran, Ashish Jhina",Invus,85000000.0,Series C,2021-01-01
Captain Fresh,2019.0,Bangalore,Logistics & Supply Chain,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Tiger Global, Prosus Ventures",40000000.0,Series B,2021-01-01
Deciwood,2018.0,New Delhi,Consumer Electronics,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta",200000.0,Series A,2021-01-01
Kohbee,2019.0,Bangalore,E-Learning,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",235000.0,Pre-seed,2021-01-01
Perfora,2021.0,Gurugram,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Tushar Khurana, Jatan Bawa",Sauce.Vc,260000.0,Pre-seed,2021-01-01
Unbox Robotics,2019.0,Pune,Logistics & Supply Chain,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3One4 Capital, Sixth Sense Ventures",7000000.0,Series A,2021-01-01
Ninety One,2015.0,Ahmedabad,Consumer Goods,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.","Sachin Chopra, Vishal Chopra",A91 Partners,30000000.0,Series A,2021-01-01
Gobillion,2020.0,New Delhi,Social Commerce,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"Roshan Farhan, Kulapradip Bharali","Ycombinator, Justin Mateen, Pioneer Fund",2900000.0,Seed,2021-01-01
Ripplr,2019.0,Bangalore,Logistics & Supply Chain,India’s first Plug-n-Play distribution ecosystem for brands,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures",12000000.0,Pre-series B,2021-01-01
Sk Finance,1994.0,Jaipur,Financial Services,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,Rajendra Setia,"Iifl Wealth, Tpg Growth, Norwest Venture Partners",53000000.0,Series F,2021-01-01
Eggoz,2017.0,Gurugram,Food & Beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",3500000.0,Series A,2021-01-01
Fabriclore,2016.0,Jaipur,Apparel & Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks",700000.0,Pre-series A,2021-01-01
Veefin,2010.0,Mumbai,Information Technology & Services,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.","Gautam Udani, Raja Debnath",Rajesh Rajendran,3000000.0,Series B,2021-01-01
Verandah,2011.0,Mumbai,Apparel & Fashion,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",1000000.0,Seed,2021-01-01
Karkinos Healthcare,2020.0,Mumbai,Hospital & Health Care,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.","R Venkataramanan, Ravi Kant",Reliance Digital Health,3500000.0,Series A,2021-01-01
Owo Technologies,2020.0,Gurugram,Food & Beverages,An ecommerce startup offering online beverages and packaged drinking water,"Ajay Changani, Hardev Sahu",Venture Catalysts,3000000.0,Seed,2021-01-01
Esportsxo,2020.0,Bangalore,Mobile Games,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,1100000.0,Seed,2021-01-01
Zorgers,2013.0,Mohali,Hospital & Health Care,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,"Varun Gupta, Anil Kumar, Abhinav Gupta",Ritu Marya Family Office.,3500000.0,Pre-series A,2021-01-01
Bangdb,2015.0,Bangalore,Computer Software,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,Sachin Sinha,Ten Innovate,3500000.0,Pre-series A,2021-01-01
Neobank Jupiter,2019.0,Mumbai,Banking,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,Jitendra Gupta,"Tiger Global, Sequoia Capital",86000000.0,Series C,2021-01-01
Skippi Ice Pops,2021.0,Hyderabad,Food Production,India's First Icepops Brand,Ravi Kabra,Shark Tank India,130000.0,Pre-seed,2021-01-01
Glii,2020.0,Noida,Dating,India’s finest dating companionship application,Shivam Kaushik,We Founder Circle,10000.0,Seed,2021-01-01
Globalbees,2021.0,New Delhi,E-Commerce,Globalbees partners with entrepreneurs who have built an online-first business.,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital",111000000.0,Series B,2021-01-01
Mamaearth,2016.0,Gurugram,"Health, Wellness & Fitness",Baby and mother care brand,"Ghazal, Varun Alagh",Sequoia,37000000.0,Series B,2021-01-01
Securenow,2011.0,Gurugram,Insurance,SecureNow is an award winning tech-enabled insurance intermediary.,"Kapil Mehta, Abhishek Bondia",Apis Insurtech Fund I,6000000.0,Series B,2021-01-01
Vendor Infra,2019.0,Gurugram,Construction,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",Rahul Jain,"Sk Tripathi, Sanjeev Gupta",265000.0,Pre-seed,2021-01-01
Hakuna Matata,2006.0,Chennai,Information Technology & Services,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,Gengarajan Pv,Hardcastle Petrofer,1000000.0,Pre-series A,2021-01-01
Onecard,2019.0,Pune,Financial Services,"India's finest and smartest metal credit card, reimagined for the mobile generation.","Rupesh Kumar, Anurag Sinha, Vibhav Hathi","Ocean View Investment, Qed Fund",76000000.0,Seed,2021-01-01
Doubtnut,2016.0,Gurugram,Edtech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",30000000.0,Series B,2021-01-01
Infra.Market,2016.0,Thane,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Aaditya Sharda, Souvik Sengupta","Innoven Capital, Nexus Venture Partners",100000000.0,Series C,2021-01-01
Comofi Medtech,2017.0,Bangalore,Heathtech,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies","Satish Kalme, Kubasad Gururaj",Ciie.Co,200000.0,Pre-series A,2021-01-01
Kutuki,2017.0,Bangalore,Edtech,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000.0,Seed,2021-01-01
Eupheus,2017.0,New Delhi,Edtech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",4000000.0,Series B,2021-01-01
Kreditbee,2018.0,Bangalore,Fintech,KreditBee is an Instant Personal Loan Platform for Young Professionals.,Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",75000000.0,Series C,2021-01-01
Pencil,2019.0,Mumbai,Content Publishing,Pencil is a content publishing platform that enables writers to publish their work for free.,"Malini Nair, Preeti Chib, Swarup Nanda","Inflection Point Ventures, Sucseed Venture Partners",1000000.0,Pre-series A,2021-01-01
Marquee Equity,2016.0,Mumbai,Fintech,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,Ash Narain,"Capital One, Arrowroot Capital",3800000.0,Series B,2021-01-01
Uptimeai,2016.0,Bangalore,Ai Startup,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures","Jagadish Gattu, Vamsi Yalamanchili",Yournest Venture Capital,1500000.0,Seed,2021-01-01
Wizklub,2018.0,Bangalore,Edtech,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Amit Bansal,Incubate Fund India,800000.0,Pre-series A,2021-01-01
Zolve,2020.0,Bangalore,Fintech,Zolve Innovations operates as a neo-banking startup.,Raghunandan G,"Kunal Shah, Greg Kidd",15000000.0,Seed,2021-01-01
Medibuddy,2000.0,Bangalore,Edtech,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",Satish Kannan,"Innoven Capital, Teamfund",3000000.0,Debt,2021-01-01
Pariksha,2015.0,Pune,Edtech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",2000000.0,Pre-series A,2021-01-01
Express Stores,2019.0,Gurugram,E-Commerce,Express Stores is a retail and omnichannel startup company,"Apoorv Jain, Kartik Gupta","Venture Highway, Rohit Bansal",1000000.0,Seed,2021-01-01
Avataar Ventures,2019.0,Bangalore,Fintech,Avataar Venture Partners is a growth Capital Investment Firm.,Mohan Kumar,Kalaari Capital ,100000000.0,Pre-seed,2021-01-01
Phable,2017.0,Bangalore,Healthtech,Mobile App for Patients and Doctors,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts",12000000.0,Series A,2021-01-01
Supply6,2018.0,Bangalore,Helathcare,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rahul Jacob, Vaibhav Bhandari","Rohit Goutamchand, India Cxo Fund",100000.0,Seed,2021-01-01
Swajal,2015.0,Gurugram,Water Purification,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Advait Kumar, Vibha Tripathi","Rajasthan Venture Capital Fund, Acpl Exports",1600000.0,Pre-series A,2021-01-01
Bharatpe,2018.0,New Delhi,Fintech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Amplo, Insight Partners",100000000.0,Series D,2021-01-01
Filo,2020.0,New Delhi,Edtech,Instant learning platform for students while self study.,"Imbesat Ahmad, Shadman Anwer",Better Capital,260000.0,Pre-seed,2021-01-01
Method & Madness,2020.0,Mumbai,Real Estate,Method & Madness Technology operates as a real-estate tech company.,Aditya Jhaveri,Justin Mateen,2000000.0,Seed,2021-01-01
Edufund,2020.0,Gujarat,Fintech,Changing the way Indians evaluate and plan higher education,"Arindam Sengupta, Eela Dubey",View Trade Holding Corp,300000.0,Pre-seed,2021-01-01
Pepperfry,2011.0,Mumbai,E-Commerce,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"Ambareesh Murty, Ashish Shah","Innoven Capital, Bertelsmann India Investments",30000000.0,Debt,2021-01-01
Zingavita,2020.0,Chandigarh,Healthtech,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.","Rohit Anand, Sachin Goel",Anicut Angel Fund,400000.0,Debt,2021-01-01
Verse Innovation,2007.0,Bangalore,Innovation Management,Owner of Dailyhunt App and I-Pay,Virendra Gupta,"Canaan Valley Capital, Glade Brook Capital Partners",1000000000.0,Series H,2021-01-01
Supersourcing,2020.0,Indore,Software Company,Build your next app or website with our exclusive network of certified IT companies.,"Mayank Pratap Singh, Aditi Chaurasia","Vijay Shekhar Sharma, Dr Ritesh Malik",200000.0,Seed,2021-01-01
Automatapi,2017.0,Powai,Automation,AutomataPi is a next generation cognitive business process automation engine.,"Devesh Rao, Manjeet Khopkar, Rahul Hattangdi",Indian Angel Network,400000.0,Seed,2021-01-01
Newton School,2019.0,Bangalore,Edtech,Newton School is a platform to learn and develop skills that you need for your best Tech career.,"Nishant Chandra, Siddharth Maheshwari","Rtp Global, Harshil Mathur",5000000.0,Series A,2021-01-01
Tendercuts,2011.0,Chennai,Food Industry,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.",Nishanth Chandran,"Paragon Partners, Nabventures",15000000.0,Debt,2021-01-01
Siply,2020.0,Bangalore,Fintech,Siply Services operates as a micro-savings platform.,"Sousthav Chakrabarty, Anil Bhat",Inflection Point Ventures,1000000.0,Seed,2021-01-01
Sarvagram,2019.0,Mumbai,Fintech,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,"Utpal Isser, Sameer Mishra",Elevation Capital,10000000.0,Series B,2021-01-01
Unlu,2020.0,Gurugram,Celebrity Engagement,Personalised Video Shoutout from top celebrities,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",Expert Dojo,1000000.0,Seed,2021-01-01
Globalfair,2020.0,Gurugram,Trading Platform,One-stop solution for all your procurement needs,"Ashish Chandra, Shaily Garg","Saama Capital, India Quotient",2000000.0,Seed,2021-01-01
Eduvanz,2016.0,Mumbai,Fintech,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.","Atul Sashittal, Raheel Shah, Varun Chopra","Incred Financial Services, Vivriti Capital, Northern Arc Capital",10000000.0,Debt,2021-01-01
Owo,2020.0,Gurugram,E-Commerce,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",Hardev Sahu,Ah! Ventures,200000.0,Seed,2021-01-01
Progcap,2017.0,New Delhi,Fintech,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,"Pallavi Shrivastava, Himanshu Chandra","Somak Ghosh, M V Nair",1000000.0,Debt,2021-01-01
Abl Workspaces,2017.0,New Delhi,Hospitality,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,"Ankur Gupta, Akshita Gupta",Wurk,600000.0,Pre-series A,2021-01-01
Nazara Technologies,2000.0,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Plutus Wealth Management, Turtle Entertainment",10000000.0,Debt,2021-01-01
Scentials,2018.0,Mumbai,Personal Care,Scentials is building a unique beauty brands studio platform,"Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu",6000000.0,Pre-series A,2021-01-01
Splashlearn,2018.0,Gurugram,Edtech,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,"Arpit Jain, Joy Deep Nath, Mayank Jain, Umang Jain","Accel, Owl Ventures",18000000.0,Series C,2021-01-01
Maya,2016.0,Bangalore,Healthtech,Maya enables women to keep track of their health via a mobile application.,John Paul,Rajan Anadan,2200000.0,Seed,2021-01-01
Goto,2020.0,Ghaziabad,Transportation,Real Time Intercity City Transit Platform For 1.25 Bn People In India,"Akhilesh Sagar, Harsh Vardhan Sharma",Jesse Lucas,150000.0,Pre-seed,2021-01-01
Medibuddy,2000.0,Bangalore,Healthtech,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"Atish Kannan, Enbasekar","Idfc Private Equity, Bessemer Venture Partners",40000000.0,Series B,2021-01-01
Zetwerk,2018.0,Bangalore,E-Commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel",120000000.0,Series D,2021-01-01
Remedico,2017.0,Hyderabad,Healthcare,Remedico is a Mobile healthcare,Ranjit Bhatia,"Venture Catalysts, Tahseen Consulting",500000.0,Pre-series A,2021-01-01
Satya Microcapital,2017.0,New Delhi,Fintech,Satya MicroCapital is a micro finance company based on a group lending model that allows borrowers to share liability.,Vivek Tiwari,"Blueorchard Finance S A, Gojo & Company",20000000.0,Debt,2021-01-01
Yourphysio,2020.0,Nagpur,Healthtech,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,"Dr Sheetal Mundhada, Ashutosh Mundhada","Better Capital, Titan Capital",350000.0,Pre-seed,2021-01-01
Aviom Housing Finance,2016.0,New Delhi,Fintech,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Kajal Ilmi,Gojo & Company,1000000.0,Debt,2021-01-01
Hemp Horizons,2017.0,Noida,Cannabis Startup,Cannabis and Hemp company,Rohit Shah,Mumbai Angels,200000.0,Seed,2021-01-01
Mpl,2018.0,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",95000000.0,Seed,2021-01-01
Koo,2020.0,Bangalore,Blogging,Koo App operates as a microblogging app.,"Mayank Bidawatka, Aprameya Radhakrishna","3One4 Capital, Accel",4100000.0,Series A,2021-01-01
Innerhour,2016.0,Mumbai,Healthcare,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,Amit Malik,"Hitesh Oberoi, Lightbox",5200000.0,Series A,2021-01-01
Origo,2010.0,Gurugram,Agritech,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.","Sunoor Kaul, Mayank Dhanuka",Yes Bank,10000000.0,Debt,2021-01-01
Elucidata,2015.0,New Delhi,Biotechnology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,5000000.0,Pre-series A,2021-01-01
Saveo,2019.0,Bangalore,Healthtech,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, Rtp Global",4000000.0,Seed,2021-01-01
Dotpe,2019.0,Gurugram,Fintech,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment",8000000.0,Seed,2021-01-01
